TRACK_ID;POSITION_X;POSITION_Y;POSITION_T;RADIUS;MEAN_INTENSITY_CH1;MEAN_INTENSITY_CH3
73;1905.610011;671.1493388;37;32.5;131.1232565;1113.469684
73;1905.248853;711.7401643;55;32.5;151.8087105;798.7694278
73;1946.961734;708.4864641;21;32.5;108.2633077;1124.971819
73;1847.178163;732.2332633;59;32.5;156.528608;1178.351267
73;1980.381063;813.6373881;12;32.5;94.61713635;1124.231995
73;1959.316375;928.1881976;7;32.5;83.96811842;978.7699972
73;1905.479632;669.3646367;29;32.5;119.5758611;1123.551665
73;2010.952203;903.9732945;3;32.5;76.56105892;869.3162539
73;1958.624575;858.3563381;10;32.5;89.84571591;1122.627384
73;1906.77275;668.6973111;30;32.5;121.3788785;1132.080558
73;1905.760555;669.3698808;36;32.5;129.9732422;1116.530601
73;1910.555633;694.3087881;46;32.5;142.4674068;1130.449758
73;1947.814371;882.8993214;9;32.5;87.82863649;1173.830914
73;1905.948376;668.6906479;28;32.5;118.5018503;1125.140051
73;1904.585704;676.3556077;39;32.5;133.1912895;1127.044976
73;1910.316349;696.5575043;47;32.5;143.2875036;1134.490464
73;1997.214666;911.7352758;4;32.5;78.69257045;830.5251921
73;1972.561589;765.2926534;16;32.5;101.1508682;1164.233134
73;1912.64211;706.1813284;51;32.5;147.7042414;1143.680615
73;1926.216437;680.5077457;25;32.5;114.0540848;1127.87105
73;1913.103681;701.6815949;49;32.5;145.8855679;1135.977512
73;1902.301951;681.3546965;41;32.5;136.5237689;1122.881013
73;1978.117237;833.835255;11;32.5;92.68687731;1176.423
73;1904.893761;683.9818248;42;32.5;136.9604327;1080.842585
